                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.9135,                 5.3287,                 4.2418,                      0,                      0,                      0,                      0,                 7.1383,                 6.8462,                 4.1604,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  6.944,                 5.7169,                 4.2304,                      0,                      0,                      0,                      0,                 7.1385,                 6.8515,                 4.1618,             2.4866e-05,             2.4866e-05,             2.4866e-05
                      3,                 6.8978,                 5.1317,                 4.2531,                      0,                      0,                      0,                      0,                 7.1387,                 6.8552,                 4.1629,             4.1238e-05,             4.1238e-05,             4.1238e-05
                      4,                 6.9375,                 5.5025,                 4.2018,                      0,                      0,                      0,                      0,                 7.1387,                 6.8554,                 4.1636,             5.7444e-05,             5.7444e-05,             5.7444e-05
                      5,                 6.9214,                 5.3235,                 4.2071,                      0,                      0,                      0,                      0,                 7.1387,                 6.8515,                 4.1636,             7.3486e-05,             7.3486e-05,             7.3486e-05
                      6,                 6.9067,                 5.2353,                 4.1582,                      0,                      0,                      0,                      0,                 7.1386,                 6.8403,                 4.1627,             8.9362e-05,             8.9362e-05,             8.9362e-05
                      7,                 6.9414,                  5.158,                 4.1464,                      0,                      0,                      0,                      0,                 7.1383,                 6.8193,                 4.1604,             0.00010507,             0.00010507,             0.00010507
                      8,                 6.8835,                 4.9106,                 4.0907,                      0,                      0,                      0,                      0,                 7.1378,                 6.7864,                 4.1565,             0.00012062,             0.00012062,             0.00012062
                      9,                 6.9128,                  5.024,                 4.1216,                      0,                      0,                      0,                      0,                 7.1375,                 6.7651,                 4.1538,               0.000136,               0.000136,               0.000136
                     10,                 6.8986,                 4.8876,                 4.0517,                      0,                      0,                      0,                      0,                 7.1369,                 6.7283,                 4.1493,             0.00015122,             0.00015122,             0.00015122
                     11,                 6.9355,                 5.1134,                 4.0369,                      0,                      0,                      0,                      0,                 7.1362,                 6.6812,                 4.1433,             0.00016627,             0.00016627,             0.00016627
                     12,                  6.913,                  4.937,                  3.993,                      0,                      0,                      0,                      0,                 7.1352,                 6.6242,                 4.1357,             0.00018116,             0.00018116,             0.00018116
                     13,                  6.943,                 4.9284,                 3.9063,                      0,                      0,                      0,                      0,                  7.134,                 6.5544,                 4.1261,             0.00019588,             0.00019588,             0.00019588
                     14,                 6.8928,                 4.6545,                 3.8945,                      0,                      0,                      0,                      0,                 7.1326,                 6.4747,                 4.1147,             0.00021044,             0.00021044,             0.00021044
                     15,                 6.8659,                 4.5218,                 3.8407,                      0,                      0,                      0,                      0,                 7.1308,                 6.3813,                 4.1006,             0.00022483,             0.00022483,             0.00022483
                     16,                 6.8381,                 4.5533,                 3.7276,                      0,                      0,                      0,                      0,                 7.1286,                 6.2714,                 4.0831,             0.00023906,             0.00023906,             0.00023906
                     17,                 6.8392,                 4.3669,                 3.6872,                      0,                      0,                      0,                      0,                 7.1259,                 6.1453,                 4.0618,             0.00025312,             0.00025312,             0.00025312
                     18,                 6.7954,                 4.5016,                 3.7165,                      0,                      0,                      0,                      0,                 7.1226,                 6.0067,                 4.0367,             0.00026702,             0.00026702,             0.00026702
                     19,                 6.8446,                 4.3369,                 3.6747,                      0,                      0,                      0,                      0,                 7.1186,                 5.8552,                 4.0072,             0.00028075,             0.00028075,             0.00028075
                     20,                 6.8442,                 4.2538,                 3.6796,                      0,                      0,                      0,                      0,                 7.1142,                  5.707,                 3.9758,             0.00029432,             0.00029432,             0.00029432
                     21,                 6.6662,                 4.0866,                  3.548,                      0,                      0,                      0,                      0,                 7.1088,                   5.55,                 3.9394,             0.00030772,             0.00030772,             0.00030772
                     22,                 6.6556,                 4.0748,                 3.5073,                      0,                      0,                      0,                      0,                 7.1032,                  5.409,                 3.9036,             0.00032096,             0.00032096,             0.00032096
                     23,                 6.6636,                 4.0514,                 3.3567,                      0,                      0,                      0,                      0,                 7.0975,                   5.29,                 3.8693,             0.00033403,             0.00033403,             0.00033403
                     24,                 6.3969,                 3.8293,                 3.2591,                      0,                      0,                      0,                      0,                 7.0905,                 5.1591,                 3.8286,             0.00034694,             0.00034694,             0.00034694
                     25,                 6.2754,                  3.659,                  3.184,                      0,                      0,                      0,                      0,                 7.0845,                 5.0767,                 3.7969,             0.00035968,             0.00035968,             0.00035968
                     26,                 6.0751,                 3.5176,                 3.1061,                      0,                      0,                      0,                      0,                 7.0779,                 5.0052,                 3.7633,             0.00037226,             0.00037226,             0.00037226
                     27,                  5.505,                 3.4767,                 3.0397,                      0,                      0,                      0,                      0,                 7.0707,                 4.9506,                 3.7296,             0.00038467,             0.00038467,             0.00038467
                     28,                 5.3521,                 3.3646,                 3.0286,                      0,                      0,                      0,                      0,                 7.0707,                 4.9506,                 3.7296,             0.00039692,             0.00039692,             0.00039692
                     29,                 5.4619,                 3.3384,                 2.9626,                      0,                      0,                      0,                      0,                 7.0584,                 4.8396,                 3.6736,               0.000409,               0.000409,               0.000409
                     30,                 5.2454,                 3.1207,                 2.9664,                      0,                      0,                      0,                      0,                 7.0378,                 4.6478,                 3.5867,             0.00042092,             0.00042092,             0.00042092
                     31,                 4.9776,                 3.1307,                 2.8909,                      0,                      0,                      0,                      0,                 7.0378,                 4.6478,                 3.5867,             0.00043267,             0.00043267,             0.00043267
                     32,                 4.8138,                 3.0312,                 2.7843,                      0,                      0,                      0,                      0,                 7.0162,                 4.4833,                 3.5076,             0.00044426,             0.00044426,             0.00044426
                     33,                 5.3242,                 3.1516,                 2.8859,                      0,                      0,                      0,                      0,                  7.023,                    4.5,                  3.537,             0.00045568,             0.00045568,             0.00045568
                     34,                 4.5189,                 2.9712,                 2.7531,                      0,                      0,                      0,                      0,                  7.023,                    4.5,                  3.537,             0.00046694,             0.00046694,             0.00046694
                     35,                 4.3311,                 2.9452,                 2.6752,                      0,                      0,                      0,                      0,                 7.0489,                 4.6618,                 3.6473,             0.00047804,             0.00047804,             0.00047804
                     36,                 4.0911,                  3.001,                 2.5961,                      0,                      0,                      0,                      0,                 7.0835,                 5.0312,                 3.8228,             0.00048896,             0.00048896,             0.00048896
                     37,                 4.0793,                 2.8317,                 2.4785,                      0,                      0,                      0,                      0,                 7.0835,                 5.0312,                 3.8228,             0.00049973,             0.00049973,             0.00049973
                     38,                 4.1442,                 2.7966,                 2.4483,                      0,                      0,                      0,                      0,                 7.1181,                  5.712,                 4.0432,             0.00051033,             0.00051033,             0.00051033
                     39,                 3.7952,                 2.9001,                  2.384,                      0,                      0,                      0,                      0,                 7.1356,                 6.2623,                 4.1769,             0.00052076,             0.00052076,             0.00052076
                     40,                 3.4846,                 2.8977,                 2.3042,                      0,                      0,                      0,                      0,                 7.1356,                 6.2623,                 4.1769,             0.00053103,             0.00053103,             0.00053103
                     41,                 3.2962,                 2.8298,                 2.2785,                      0,                      0,                      0,                      0,                 7.1422,                 6.4858,                 4.2319,             0.00054113,             0.00054113,             0.00054113
                     42,                 3.0756,                 2.8168,                 2.2283,                      0,                      0,                      0,                      0,                 7.1407,                  6.319,                  4.217,             0.00055107,             0.00055107,             0.00055107
                     43,                 2.9721,                   2.67,                 2.1422,                      0,                      0,                      0,                      0,                 7.1407,                  6.319,                  4.217,             0.00056085,             0.00056085,             0.00056085
                     44,                 3.3421,                 2.6829,                 2.1528,                      0,                      0,                      0,                      0,                 7.1322,                 5.8754,                 4.1435,             0.00057046,             0.00057046,             0.00057046
                     45,                 3.0267,                 2.6209,                 2.0653,                      0,                      0,                      0,                      0,                 7.1322,                 5.8754,                 4.1435,              0.0005799,              0.0005799,              0.0005799
                     46,                 2.7762,                 2.5715,                 2.0342,                      0,                      0,                      0,                      0,                 7.1004,                 5.0588,                 3.9011,             0.00058918,             0.00058918,             0.00058918
                     47,                 3.0533,                 2.4549,                 1.9724,                      0,                      0,                      0,                      0,                 7.1004,                 5.0588,                 3.9011,             0.00059829,             0.00059829,             0.00059829
                     48,                 2.7116,                 2.4127,                  1.992,                      0,                      0,                      0,                      0,                 7.0104,                 4.3447,                 3.4088,             0.00060724,             0.00060724,             0.00060724
                     49,                 2.7927,                 2.4087,                 1.9668,                      0,                      0,                      0,                      0,                 7.0104,                 4.3447,                 3.4088,             0.00061603,             0.00061603,             0.00061603
                     50,                 2.9345,                 2.3296,                  1.884,                      0,                      0,                      0,                      0,                 6.7092,                 3.8112,                 2.6031,             0.00062465,             0.00062465,             0.00062465
                     51,                  2.682,                 2.2541,                 1.8588,                      0,                      0,                      0,                      0,                 6.7092,                 3.8112,                 2.6031,             0.00062683,             0.00062683,             0.00062683
                     52,                 3.1824,                 2.2771,                 1.8324,                0.00505,                0.00559,                0.00456,                0.00085,                 5.5687,                 3.1986,                 1.9843,             0.00062683,             0.00062683,             0.00062683
                     53,                 3.0669,                 2.1891,                 1.7272,                0.00505,                0.00559,                0.00456,                0.00085,                 5.5687,                 3.1986,                 1.9843,             0.00062271,             0.00062271,             0.00062271
                     54,                 2.5321,                 2.2407,                 1.8114,                0.06319,                0.06096,                0.06778,                0.01925,                 4.2808,                 2.6378,                 1.7403,             0.00061859,             0.00061859,             0.00061859
                     55,                 2.8307,                 2.1426,                  1.718,                0.06319,                0.06096,                0.06778,                0.01925,                 4.2808,                 2.6378,                 1.7403,             0.00061446,             0.00061446,             0.00061446
                     56,                 2.6191,                  2.295,                 1.7782,                0.14309,                0.15162,                0.15018,                0.05152,                 3.3263,                 2.1576,                 1.6281,             0.00061034,             0.00061034,             0.00061034
                     57,                  2.872,                 2.1434,                 1.7007,                0.14309,                0.15162,                0.15018,                0.05152,                 3.3263,                 2.1576,                 1.6281,             0.00060622,             0.00060622,             0.00060622
                     58,                  2.508,                 2.1827,                 1.7528,                0.20223,                0.17654,                0.18833,                0.07098,                 2.9417,                 1.9782,                  1.567,             0.00060209,             0.00060209,             0.00060209
